area,centroid_x,centroid_y,predicted_iou,stability_score
739.0,1195.618403247632,1248.5913396481733,0.9121257662773132,0.9720372557640076
724.0,1236.8080110497237,186.40331491712706,0.8977965116500854,0.96875
537.0,1450.8175046554934,411.63128491620114,0.8864176273345947,0.9347826242446899
1393.0,954.910983488873,1757.1119885139985,0.8849641680717468,0.9516806602478027
712.0,1129.8483146067415,1245.5351123595506,0.8836570382118225,0.9682320356369019
530.0,797.0358490566038,1453.0698113207548,0.873503565788269,0.9594095945358276
575.0,880.2504347826087,1814.0104347826086,0.8688039779663086,0.9488926529884338
2118.0,1607.296506137866,1268.4688385269121,0.8672906756401062,0.9322964549064636
484.0,617.1818181818181,743.0061983471074,0.8574839234352112,0.9657947421073914
688.0,1424.2921511627908,334.9389534883721,0.8546820282936096,0.9601139426231384
705.0,1210.2028368794327,772.2524822695035,0.8494188785552979,0.9582753777503967
570.0,1215.959649122807,842.4578947368421,0.8453089594841003,0.962199330329895
158.0,1311.5443037974683,730.006329113924,0.8370405435562134,0.8928571343421936
438.0,739.7785388127854,167.5662100456621,0.8188110589981079,0.9155555367469788
1142.0,1212.2977232924693,794.8397548161121,0.8144618272781372,0.8564397096633911
80.0,609.3875,679.0875,0.8082448840141296,0.9375
816.0,1423.1899509803923,326.86764705882354,0.8363651037216187,0.8538713455200195
