area,centroid_x,centroid_y,predicted_iou,stability_score
4495.0,28.957508342602893,44.042046718576195,0.9504076242446899,0.9773277640342712
747.0,617.2329317269076,949.0682730923695,0.941514253616333,0.9827814698219299
1722.0,480.20150987224156,1834.2996515679442,0.938095211982727,0.8484199047088623
1143.0,943.912510936133,1969.4750656167978,0.9258875846862793,0.9653978943824768
973.0,1479.0637204522097,1365.7995889003084,0.9232821464538574,0.9806714057922363
1353.0,325.0650406504065,1041.4308943089432,0.9190535545349121,0.8632302284240723
1095.0,1282.4429223744291,1091.9707762557077,0.9051684141159058,0.9720469117164612
919.0,934.7072905331883,975.6376496191513,0.8949791789054871,0.9658848643302917
1434.0,1236.555090655509,358.42329149232916,0.885212779045105,0.9371621608734131
193.0,492.60103626943004,673.3056994818653,0.8355145454406738,0.935960590839386
682.0,1743.365102639296,546.5542521994134,0.8284226059913635,0.9146853089332581
109.0,984.0917431192661,615.1743119266055,0.8154621720314026,0.9639639854431152
