area,centroid_x,centroid_y,predicted_iou,stability_score
317.0,1065.7255520504732,230.596214511041,0.9177591800689697,0.9722222089767456
4152.0,31.763969171483623,39.652938342967246,0.8988213539123535,0.9567364454269409
888.0,1198.0495495495495,1137.6013513513512,0.8944064378738403,0.9614112377166748
974.0,557.5184804928132,1702.4486652977412,0.875575840473175,0.9042448401451111
672.0,1204.563988095238,885.1592261904761,0.8665341138839722,0.9677891731262207
1171.0,1595.6490179333903,1300.2946199829205,0.8648369908332825,0.9239574670791626
283.0,674.0883392226149,1707.1625441696112,0.8606921434402466,0.9790209531784058
585.0,711.591452991453,838.8700854700854,0.8373505473136902,0.9405940771102905
420.0,1055.6619047619047,1520.3261904761905,0.8285704255104065,0.9293849468231201
533.0,541.2570356472795,889.2757973733584,0.8024582266807556,0.8701754212379456
