"assay_name","assay_type","Metadata_Plate","Metadata_Well","plate","row","col","strain","drug","concentration_um","bleach","diluent","food","od","well_censor","well_censor_reason","notes","strain_set","phenotype_random_id"
"LM1","48h","p001","D08",1,"D","8","ECA3294","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,4
"LM1","48h","p001","D09",1,"D","9","ECA3294","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,4
"LM1","48h","p001","D10",1,"D","10","ECA3294","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,4
"LM1","48h","p001","D11",1,"D","11","ECA3294","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,4
"LM1","48h","p001","D12",1,"D","12","ECA3294","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,4
"LM1","48h","p001","E01",1,"E","1","ECA3189","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,5
"LM1","48h","p001","E02",1,"E","2","ECA3189","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,5
"LM1","48h","p001","E03",1,"E","3","ECA3189","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,5
"LM1","48h","p001","E04",1,"E","4","ECA3189","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,5
"LM1","48h","p001","E05",1,"E","5","ECA3189","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,5
"LM1","48h","p001","E06",1,"E","6","ECA3189","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,5
"LM1","48h","p001","E07",1,"E","7","ECA3189","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,5
"LM1","48h","p001","E08",1,"E","8","ECA3189","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,5
"LM1","48h","p001","E09",1,"E","9","ECA3189","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,5
"LM1","48h","p001","E10",1,"E","10","ECA3189","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,5
"LM1","48h","p001","E11",1,"E","11","ECA3189","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,5
"LM1","48h","p001","E12",1,"E","12","ECA3189","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,5
"LM1","48h","p001","F01",1,"F","1","ECA3155","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,6
"LM1","48h","p001","F02",1,"F","2","ECA3155","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,6
"LM1","48h","p001","F03",1,"F","3","ECA3155","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,6
"LM1","48h","p001","F04",1,"F","4","ECA3155","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,6
"LM1","48h","p001","F05",1,"F","5","ECA3155","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,6
"LM1","48h","p001","F06",1,"F","6","ECA3155","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,6
"LM1","48h","p001","F07",1,"F","7","ECA3155","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,6
"LM1","48h","p001","F08",1,"F","8","ECA3155","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,6
"LM1","48h","p001","F09",1,"F","9","ECA3155","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,6
"LM1","48h","p001","F10",1,"F","10","ECA3155","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,6
"LM1","48h","p001","F11",1,"F","11","ECA3155","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,6
"LM1","48h","p001","F12",1,"F","12","ECA3155","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,6
"LM1","48h","p001","G01",1,"G","1","ECA3224","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,7
"LM1","48h","p001","G02",1,"G","2","ECA3224","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,7
"LM1","48h","p001","G03",1,"G","3","ECA3224","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,7
"LM1","48h","p001","G04",1,"G","4","ECA3224","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,7
"LM1","48h","p001","G05",1,"G","5","ECA3224","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,7
"LM1","48h","p001","G06",1,"G","6","ECA3224","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,7
"LM1","48h","p001","G07",1,"G","7","ECA3224","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,7
"LM1","48h","p001","G08",1,"G","8","ECA3224","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,7
"LM1","48h","p001","G09",1,"G","9","ECA3224","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,7
"LM1","48h","p001","G10",1,"G","10","ECA3224","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,7
"LM1","48h","p001","G11",1,"G","11","ECA3224","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,7
"LM1","48h","p001","G12",1,"G","12","ECA3224","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,7
"LM1","48h","p001","H01",1,"H","1","ECA3250","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,8
"LM1","48h","p001","H02",1,"H","2","ECA3250","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,8
"LM1","48h","p001","H03",1,"H","3","ECA3250","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,8
"LM1","48h","p001","H04",1,"H","4","ECA3250","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,8
"LM1","48h","p001","H05",1,"H","5","ECA3250","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,8
"LM1","48h","p001","H06",1,"H","6","ECA3250","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,8
"LM1","48h","p001","H07",1,"H","7","ECA3250","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,8
"LM1","48h","p001","H08",1,"H","8","ECA3250","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,8
"LM1","48h","p001","H09",1,"H","9","ECA3250","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,8
"LM1","48h","p001","H10",1,"H","10","ECA3250","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,8
"LM1","48h","p001","H11",1,"H","11","ECA3250","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,8
"LM1","48h","p001","H12",1,"H","12","ECA3250","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,1,8
"LM1","48h","p002","A01",2,"A","1","ECA3262","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,9
"LM1","48h","p002","A02",2,"A","2","ECA3262","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,9
"LM1","48h","p002","A03",2,"A","3","ECA3262","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,9
"LM1","48h","p002","A04",2,"A","4","ECA3262","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,9
"LM1","48h","p002","A05",2,"A","5","ECA3262","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,9
"LM1","48h","p002","A06",2,"A","6","ECA3262","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,9
"LM1","48h","p002","A07",2,"A","7","ECA3262","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,9
"LM1","48h","p002","A08",2,"A","8","ECA3262","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,9
"LM1","48h","p002","A09",2,"A","9","ECA3262","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,9
"LM1","48h","p002","A10",2,"A","10","ECA3262","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,9
"LM1","48h","p002","A11",2,"A","11","ECA3262","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,9
"LM1","48h","p002","A12",2,"A","12","ECA3262","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,9
"LM1","48h","p002","B01",2,"B","1","ECA3182","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,10
"LM1","48h","p002","B02",2,"B","2","ECA3182","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,10
"LM1","48h","p002","B03",2,"B","3","ECA3182","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,10
"LM1","48h","p002","B04",2,"B","4","ECA3182","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,10
"LM1","48h","p002","B05",2,"B","5","ECA3182","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,10
"LM1","48h","p002","B06",2,"B","6","ECA3182","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,10
"LM1","48h","p002","B07",2,"B","7","ECA3182","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,10
"LM1","48h","p002","B08",2,"B","8","ECA3182","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,10
"LM1","48h","p002","B09",2,"B","9","ECA3182","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,10
"LM1","48h","p002","B10",2,"B","10","ECA3182","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,10
"LM1","48h","p002","B11",2,"B","11","ECA3182","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,10
"LM1","48h","p002","B12",2,"B","12","ECA3182","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,10
"LM1","48h","p002","C01",2,"C","1","ECA3325","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,11
"LM1","48h","p002","C02",2,"C","2","ECA3325","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,11
"LM1","48h","p002","C03",2,"C","3","ECA3325","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,11
"LM1","48h","p002","C04",2,"C","4","ECA3325","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,11
"LM1","48h","p002","C05",2,"C","5","ECA3325","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,11
"LM1","48h","p002","C06",2,"C","6","ECA3325","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,11
"LM1","48h","p002","C07",2,"C","7","ECA3325","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,11
"LM1","48h","p002","C08",2,"C","8","ECA3325","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,11
"LM1","48h","p002","C09",2,"C","9","ECA3325","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,11
"LM1","48h","p002","C10",2,"C","10","ECA3325","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,11
"LM1","48h","p002","C11",2,"C","11","ECA3325","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,11
"LM1","48h","p002","C12",2,"C","12","ECA3325","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,11
"LM1","48h","p002","D01",2,"D","1","ECA3191","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,12
"LM1","48h","p002","D02",2,"D","2","ECA3191","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,12
"LM1","48h","p002","D03",2,"D","3","ECA3191","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,12
"LM1","48h","p002","D04",2,"D","4","ECA3191","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,12
"LM1","48h","p002","D05",2,"D","5","ECA3191","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,12
"LM1","48h","p002","D06",2,"D","6","ECA3191","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,12
"LM1","48h","p002","D07",2,"D","7","ECA3191","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,12
"LM1","48h","p002","D08",2,"D","8","ECA3191","Water",0,1,"Water","15hHB101_20220727",10,NA,NA,NA,2,12
